Status,Area,Rate per sqft,Property Type,Locality,RERA Approval,BHK_Count,Flat Type,predicted_price
Ready to move,2200,11136,4 BHK Apartment in 4S 4S Aradhya Homes,Sector 67,Not approved by RERA,4,Apartment,24429608.508967955
Ready to move,1945,5912,3 BHK Apartment in Supertech Araville,Sector 79,Not approved by RERA,3,Apartment,11593640.349223362
Ready to move,450,4222,1 BHK Apartment in Pivotal Devaan,Sector 84,Not approved by RERA,1,Apartment,2045531.650404898
Under Construction,2180,6251,4 BHK Apartment in Shapoorji Pallonji Joyville Tower Crown,Sector 102,Approved by RERA,4,Apartment,15758930.20290425
Ready to move,3452,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,75899999.99999589
Ready to move,1819,11269,3 BHK Independent Floor,Sector 46,Not approved by RERA,3,Plot,20380111.10650617
Ready to move,2300,23554,3 BHK Apartment in Signature Global City 37D,Sector 37D,Not approved by RERA,3,Apartment,54099999.999995984
Under Construction,1778,8436,3 BHK Apartment in Godrej Prive,Sector 106,Approved by RERA,3,Apartment,15008480.695392499
Ready to move,9020,16882,5 BHK Villa in Experion The Westerlies,Sector 108,Not approved by RERA,5,Villa,152534769.73260137
Ready to move,1292,20200,3 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,3,Apartment,25999999.99999906
Ready to move,5210,15000,4 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,4,Apartment,78042113.4021153
Under Construction,1213,15664,2 BHK Apartment in M3M Antalya Hills,Sector 79,Approved by RERA,2,Apartment,18833440.11274287
Ready to move,4525,8500,4 BHK Apartment in Experion Windchants,Sector 112,Not approved by RERA,4,Apartment,38933275.424296305
Ready to move,4320,11574,4 BHK Independent Floor in Today Developer 4,DLF Phase 4,Not approved by RERA,4,Floor,50012199.02896896
Under Construction,2538,7706,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment,20647401.251895763
Ready to move,1582,20200,3 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,3,Apartment,31900000.00000163
Under Construction,2042,32713,4 BHK Apartment in Anant Raj The Estate Residences,Sector 63A,Approved by RERA,4,Apartment,66883916.826222025
Ready to move,3709,11950,3 BHK Apartment in M3M Panorama Suites,Sector 65,Not approved by RERA,3,Apartment,44288746.47129142
Ready to move,2004,22106,3 BHK Apartment in M3M Heights,Sector 65,Not approved by RERA,3,Apartment,44300000.00000231
Ready to move,7430,74324,4 BHK Apartment in DLF Camellias,Sector 42,Not approved by RERA,4,Apartment,549674049.8064331
Ready to move,3762,11297,4 BHK Independent Floor,Sushant Lok,Not approved by RERA,4,Plot,42418355.41127844
Ready to move,1250,7200,3 BHK Independent Floor in BPTP Astaire Garden Plots,Sector 70A,Not approved by RERA,3,Floor,9000989.105150986
Ready to move,1600,12500,3 BHK Independent Floor,Sector 45,Not approved by RERA,3,Plot,20211017.758897495
Ready to move,2366,6500,3 BHK Apartment in Godrej 101,Sector 79,Not approved by RERA,3,Apartment,15286674.453002384
Ready to move,920,4891,3 BHK Apartment,Sector 3A,Not approved by RERA,3,Plot,4500000.000000258
Ready to move,2107,16500,3 BHK Apartment in DLF The Ultima,Sector 81,Not approved by RERA,3,Apartment,34652826.25397906
Ready to move,1100,4090,3 BHK Independent Floor,Ashok Vihar Phase II,Not approved by RERA,3,Plot,4500000.000000258
Under Construction,2073,8636,3 BHK Apartment in Sobha City,Sector 108,Approved by RERA,3,Apartment,17943130.23382334
Ready to move,1000,5600,3 BHK Apartment,Sector 12 A,Not approved by RERA,3,Plot,5603354.11958491
Under Construction,1751,37407,4 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,4,Apartment,65499999.999998346
Ready to move,2779,6327,4 BHK Apartment in Experion The Heartsong,Sector 108,Not approved by RERA,4,Apartment,17706322.762054164
Ready to move,1260,8000,2 BHK Apartment in M3M Marina,Sector 68,Not approved by RERA,2,Apartment,10281827.85702091
Under Construction,1000,10010,3 BHK Apartment in Ashiana Amarah,Sector 93,Approved by RERA,3,Apartment,9826594.441084635
Under Construction,1182,15656,1 BHK Apartment in Krisumi Waterfall Suites,Sector 36A,Approved by RERA,1,Apartment,18379811.7063872
Ready to move,3844,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,84499999.99999678
Ready to move,2831,11303,4 BHK Apartment in DLF The Ultima,Sector 81,Not approved by RERA,4,Apartment,32083246.912125416
Ready to move,2700,10185,4 BHK Independent Floor,Sector 57,Not approved by RERA,4,Plot,27492384.87314297
Under Construction,2777,17969,3 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,3,Apartment,48777556.210363455
Ready to move,4500,12333,4 BHK Independent Floor in Suncity Township,Sector 54,Not approved by RERA,4,Floor,56047277.63306886
Ready to move,2025,10617,3 BHK Apartment in Emaar Imperial Gardens,Sector 102,Not approved by RERA,3,Apartment,21528455.396553215
Ready to move,1200,3750,3 BHK Independent Floor,Sector 14,Not approved by RERA,3,Plot,4500000.000000258
Ready to move,2075,5350,3 BHK Apartment in Conscient Heritage Max,Sector 102,Not approved by RERA,3,Apartment,11271725.75982374
Under Construction,1831,12000,3 BHK Apartment in Signature Global City 79 B,Sector 79,Approved by RERA,3,Apartment,21900000.000000622
Under Construction,1280,17197,3 BHK Apartment in Sobha City Phase 5,Sector 108,Approved by RERA,3,Apartment,21911965.21050079
Ready to move,1418,29880,2 BHK Apartment in Central Park Resorts,Sector 48,Not approved by RERA,2,Apartment,42400623.39361059
Ready to move,5812,21882,5 BHK Villa in Sobha International City Presidential Villa,Sector 109,Not approved by RERA,5,Villa,127330317.17487237
Ready to move,1570,6369,3 BHK Apartment in Unitech The Residences,Sector 33,Not approved by RERA,3,Apartment,10666503.92889615
Ready to move,1381,27855,2 BHK Apartment in Sobha City Vista Residences,Sector 108,Not approved by RERA,2,Apartment,38426571.95107742
Under Construction,2249,20000,4 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,4,Apartment,44900000.000001274
Under Construction,1002,34665,3 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,3,Apartment,34700000.00000316
Under Construction,1630,15000,3 BHK Apartment in Smart Smartworld Orchard,Sector 61,Approved by RERA,3,Apartment,24417237.35438122
Ready to move,2650,14500,3 BHK Apartment in Bestech Park View Spa Next,Sector 67,Not approved by RERA,3,Apartment,38445774.8326254
Ready to move,1500,14028,3 BHK Apartment in BPTP Astaire Garden Floors,Sector 70A,Not approved by RERA,3,Apartment,20941014.672913533
Ready to move,3756,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,82600000.00000618
Under Construction,2700,22500,4 BHK Apartment in M3M Mansion,Sector 113,Approved by RERA,4,Apartment,60699999.9999949
Under Construction,1654,9974,4 BHK Apartment in Godrej Air,Sector 85,Approved by RERA,4,Apartment,16475354.872080704
Ready to move,3188,10775,4 BHK Apartment in Adani M2K Oyster Grande,Sector 102,Not approved by RERA,4,Apartment,34300499.27618547
Ready to move,1450,10322,3 BHK Apartment in Emaar Palm Hills,Sector 77,Not approved by RERA,3,Apartment,14933514.325278256
Under Construction,2071,11250,3 BHK Apartment in Navraj The Antalya,Sector 37D,Approved by RERA,3,Apartment,23199999.999998387
Ready to move,1582,10745,3 BHK Independent Floor in Vatika India Next,Sector 82,Not approved by RERA,3,Floor,17006154.45193768
Ready to move,4968,13486,4 BHK Apartment in M3M Polo Suites,Sector 65,Not approved by RERA,4,Apartment,65953106.046592765
Under Construction,1700,11176,3 BHK Independent Floor in Trehan Luxury Floors 71,Sector 71,Approved by RERA,3,Floor,18997886.756360278
Under Construction,3487,5965,4 BHK Apartment in Saan Verdante,Sector 95,Approved by RERA,4,Apartment,20647914.17651715
Under Construction,2100,16666,3 BHK Independent Floor in Adani Samsara Avasa,Sector 63,Approved by RERA,3,Floor,34960772.60370338
Under Construction,512,4000,2 BHK Apartment in Agrante Kavyam Homes,Sector 108,Approved by RERA,2,Apartment,2052046.7281428175
Ready to move,6351,15000,5 BHK Apartment in M3M St Andrews Golf Residences,Sector 65,Not approved by RERA,5,Apartment,95148256.04809365
Ready to move,3800,5131,3 BHK Apartment in Central Park Flower Valley,Sector 33 Sohna,Not approved by RERA,3,Apartment,19500000.000000812
Ready to move,4718,10067,5 BHK Apartment in ATS Triumph,Sector 104,Not approved by RERA,5,Apartment,47568746.287046514
Ready to move,2275,9494,2 BHK Apartment in Experion Windchants Villa,Sector 112,Not approved by RERA,2,Apartment,21456312.783098325
Ready to move,3363,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,73887968.3855436
Under Construction,850,6470,2 BHK Independent Floor in SSG Yash Vatika 3,Sector 4,Approved by RERA,2,Floor,9019991.279436847
Under Construction,1336,20381,3 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,3,Apartment,27199999.999998927
Ready to move,3100,5806,4 BHK Independent Floor,Sector 9,Not approved by RERA,4,Plot,17493725.63742417
Under Construction,581,4089,2 BHK Apartment in Pyramid Heights,Sector 85,Approved by RERA,2,Apartment,2371844.406327739
Under Construction,1415,7400,2 BHK Apartment in M3M Skywalk,Sector 74,Approved by RERA,2,Apartment,10429228.639710816
Under Construction,1726,30144,4 BHK Apartment in Godrej Zenith,Sector 89,Approved by RERA,4,Apartment,52000000.00000213
Ready to move,7000,11428,4 BHK Apartment in DLF Camellias,Sector 42,Not approved by RERA,4,Apartment,80258608.44396323
Under Construction,1702,16500,4 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,4,Apartment,28000000.000000887
Ready to move,4518,11841,4 BHK Independent Floor in Dlf floorsss,DLF Phase 2,Not approved by RERA,4,Floor,53706438.43812635
Under Construction,4038,16500,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment,66618522.868997395
Ready to move,1103,27854,2 BHK Apartment in Sobha City Vista Residences,Sector 108,Not approved by RERA,2,Apartment,30802900.236404262
Ready to move,5800,27586,4 BHK Apartment in  The Magnolias,Sector 42,Not approved by RERA,4,Apartment,158918729.38040692
Under Construction,1614,8674,3 BHK Apartment in DLF Garden city Independent Floor,Sector 93,Approved by RERA,3,Apartment,13900000.000000019
Ready to move,5480,11000,5 BHK Villa in Bestech Park View Ananda Villas,Sector 81,Not approved by RERA,5,Villa,61079862.894409694
Under Construction,2250,20000,3 BHK Apartment in Krisumi Waterside Residence,Sector 36A,Approved by RERA,3,Apartment,44999999.99999711
Under Construction,1751,5440,3 BHK Apartment in Eldeco Acclaim,Sector 2 Sohna,Approved by RERA,3,Apartment,9623902.39908527
Under Construction,1795,21000,3 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,3,Apartment,37599999.99999917
Ready to move,990,12222,2 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,2,Apartment,11996922.796959344
Under Construction,4128,18559,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment,76599999.99999775
Under Construction,2015,20266,3 BHK Apartment in Smart Smartworld One DXP,Sector 113,Approved by RERA,3,Apartment,40799999.999998674
Under Construction,1469,37465,4 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,4,Apartment,54999999.99999715
Ready to move,4500,7222,4 BHK Apartment in Vipul Floors,Sector 48,Not approved by RERA,4,Apartment,32576529.131357666
Under Construction,2107,16500,3 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,3,Apartment,34700000.00000316
Ready to move,2781,18500,3 BHK Apartment in Ambience Creacions,Sector 22 Gurgaon,Not approved by RERA,3,Apartment,51385807.76384746
Ready to move,750,6400,2 BHK Apartment in Signature Global Solera 2,Sector 107,Not approved by RERA,2,Apartment,4794296.044518086
Ready to move,2500,11000,4 BHK Independent Floor in Eros Wembley Estate,South City II,Not approved by RERA,4,Floor,27156533.532857962
Under Construction,645,3999,3 BHK Apartment in Mahira Homes,Sector 68,Approved by RERA,3,Apartment,2578493.454679675
Ready to move,1685,9614,3 BHK Apartment in Assotech Blith,Sector 99,Not approved by RERA,3,Apartment,16295596.43327293
Ready to move,1381,19913,2 BHK Apartment in Sobha City,Sector 108,Not approved by RERA,2,Apartment,27500000.000000406
Ready to move,2567,17530,3 BHK Apartment in Emaar Digi Homes,Sector 62,Not approved by RERA,3,Apartment,45241602.05142137
Ready to move,2650,9245,3 BHK Apartment in ATS Marigold,Sector 89A,Not approved by RERA,3,Apartment,24520296.077896766
Ready to move,1200,5000,3 BHK Independent Floor,Sector 9,Not approved by RERA,3,Plot,5999999.999999596
Ready to move,900,4333,2 BHK Apartment in Signature Global Andour Heights,Sector 71,Not approved by RERA,2,Apartment,3903799.9315263564
Under Construction,1300,20000,2 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,2,Apartment,26001992.4232506
Ready to move,1799,12506,3 BHK Apartment in DLF The Primus,Sector 82A,Not approved by RERA,3,Apartment,22518561.26201451
Under Construction,1448,7044,2 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,2,Apartment,11234913.484885298
Ready to move,4022,37978,4 BHK Apartment in DLF The Crest,Sector 54,Not approved by RERA,4,Apartment,152588424.85878128
Ready to move,2779,6327,4 BHK Apartment in Experion The Heartsong,Sector 108,Not approved by RERA,4,Apartment,17706322.762054164
Under Construction,1615,20000,2 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,2,Apartment,32244809.01612669
Under Construction,2500,23000,3 BHK Apartment in Silverglades Hightown Residences,Sector 28,Approved by RERA,3,Apartment,57487874.29145492
Ready to move,3500,34285,5 BHK Villa in Vatika Signature Villas,Sector 82,Not approved by RERA,5,Villa,119504747.33449532
Ready to move,3732,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,82122434.82763751
Ready to move,3800,5131,3 BHK Apartment in Central Park Flower Valley,Sector 33 Sohna,Not approved by RERA,3,Apartment,19500000.000000812
Ready to move,3805,18913,5 BHK Apartment in Parsvnath Exotica,Sector 53,Not approved by RERA,5,Apartment,71934639.25041297
Ready to move,2500,7400,3 BHK Independent Floor in Reputed Builder Sushant Lok 3,Sector 57,Not approved by RERA,3,Floor,18507206.08868481
Under Construction,2000,15000,3 BHK Apartment in Godrej Zenith,Sector 89,Approved by RERA,3,Apartment,30006113.83520139
Ready to move,1481,28000,4 BHK Apartment in M3M Latitude,Sector 65,Not approved by RERA,4,Apartment,41689180.813246936
Ready to move,2535,8614,3 BHK Apartment in Tata Gurgaon Gateway,Sector 112,Not approved by RERA,3,Apartment,22323678.31401082
Ready to move,1836,10620,3 BHK Independent Floor in Reputed Builder Sushant Lok 3,Sector 57,Not approved by RERA,3,Floor,19468333.745645862
Ready to move,4690,26652,4 BHK Apartment in Pioneer Araya,Sector 62,Not approved by RERA,4,Apartment,119598631.08723563
Ready to move,2700,8333,4 BHK Independent Floor,Sushant Lok Phase 3,Not approved by RERA,4,Plot,22504626.231134325
Ready to move,2400,8750,3 BHK Independent Floor in Unitech South City II,Sector 49,Not approved by RERA,3,Floor,20896001.44933697
Ready to move,2475,5350,4 BHK Apartment in Conscient Heritage Max,Sector 102,Not approved by RERA,4,Apartment,13633223.653041774
Under Construction,1689,6453,3 BHK Apartment in Adani M2K Oyster Grande,Sector 102,Approved by RERA,3,Apartment,11920544.606651558
Under Construction,1331,21316,3 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,3,Apartment,28185642.613643873
Ready to move,930,9139,2 BHK Independent Floor,Sector 83,Not approved by RERA,2,Plot,9015304.861851454
Under Construction,2733,10976,3 BHK Apartment in Orchid Ivy,Sector 51,Approved by RERA,3,Apartment,30363120.826379433
Ready to move,2847,17000,4 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,4,Apartment,48372912.02645644
Ready to move,2073,27855,3 BHK Apartment in Sobha City Vista Residences,Sector 108,Not approved by RERA,3,Apartment,57650161.799139015
Ready to move,1997,8371,3 BHK Apartment in Pareena Coban Residences,Sector 99A,Not approved by RERA,3,Apartment,16700480.656808436
Under Construction,1556,7372,3 BHK Apartment in Signature Global City 79 B,Sector 79,Approved by RERA,3,Apartment,11398898.791934429
Ready to move,4500,12222,4 BHK Independent Floor,Sector 54,Not approved by RERA,4,Plot,55000499.548270606
Ready to move,4950,10900,5 BHK Apartment in SS The Leaf,Sector 85,Not approved by RERA,5,Apartment,53909154.47959455
Under Construction,3416,19320,4 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,4,Apartment,66084639.96882636
Ready to move,1745,27855,3 BHK Apartment in Sobha City Vista Residences,Sector 108,Not approved by RERA,3,Apartment,48575984.4472932
Ready to move,2867,26949,4 BHK Apartment in DLF The Belaire,Sector 54,Not approved by RERA,4,Apartment,77019214.888756
Ready to move,2438,21500,3 BHK Apartment in Ireo The Grand Arch,Sector 58,Not approved by RERA,3,Apartment,52399764.88497462
Under Construction,1388,26582,3 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,3,Apartment,36851823.771117
Ready to move,2000,7000,3 BHK Independent Floor in Uppal Southend,Sector 49,Not approved by RERA,3,Floor,13912112.837747922
