Status,Area,Rate per sqft,Property Type,Locality,RERA Approval,BHK_Count,Flat Type
Ready to move,2831,11303,4 BHK Apartment in DLF The Ultima,Sector 81,Not approved by RERA,4,Apartment
Ready to move,2700,10185,4 BHK Independent Floor,Sector 57,Not approved by RERA,4,Plot
Under Construction,2777,17969,3 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,3,Apartment
Ready to move,4500,12333,4 BHK Independent Floor in Suncity Township,Sector 54,Not approved by RERA,4,Floor
Ready to move,2025,10617,3 BHK Apartment in Emaar Imperial Gardens,Sector 102,Not approved by RERA,3,Apartment
Ready to move,1200,3750,3 BHK Independent Floor,Sector 14,Not approved by RERA,3,Plot
Ready to move,2075,5350,3 BHK Apartment in Conscient Heritage Max,Sector 102,Not approved by RERA,3,Apartment
Under Construction,1831,12000,3 BHK Apartment in Signature Global City 79 B,Sector 79,Approved by RERA,3,Apartment
Under Construction,1280,17197,3 BHK Apartment in Sobha City Phase 5,Sector 108,Approved by RERA,3,Apartment
Ready to move,1418,29880,2 BHK Apartment in Central Park Resorts,Sector 48,Not approved by RERA,2,Apartment
Ready to move,5812,21882,5 BHK Villa in Sobha International City Presidential Villa,Sector 109,Not approved by RERA,5,Villa
Ready to move,1570,6369,3 BHK Apartment in Unitech The Residences,Sector 33,Not approved by RERA,3,Apartment
Ready to move,1381,27855,2 BHK Apartment in Sobha City Vista Residences,Sector 108,Not approved by RERA,2,Apartment
Under Construction,2249,20000,4 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,4,Apartment
Under Construction,1002,34665,3 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,3,Apartment
Under Construction,1630,15000,3 BHK Apartment in Smart Smartworld Orchard,Sector 61,Approved by RERA,3,Apartment
Ready to move,2650,14500,3 BHK Apartment in Bestech Park View Spa Next,Sector 67,Not approved by RERA,3,Apartment
Ready to move,1500,14028,3 BHK Apartment in BPTP Astaire Garden Floors,Sector 70A,Not approved by RERA,3,Apartment
Ready to move,3756,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
Under Construction,2700,22500,4 BHK Apartment in M3M Mansion,Sector 113,Approved by RERA,4,Apartment
Under Construction,1654,9974,4 BHK Apartment in Godrej Air,Sector 85,Approved by RERA,4,Apartment
Ready to move,3188,10775,4 BHK Apartment in Adani M2K Oyster Grande,Sector 102,Not approved by RERA,4,Apartment
Ready to move,1450,10322,3 BHK Apartment in Emaar Palm Hills,Sector 77,Not approved by RERA,3,Apartment
Under Construction,2071,11250,3 BHK Apartment in Navraj The Antalya,Sector 37D,Approved by RERA,3,Apartment
Ready to move,1582,10745,3 BHK Independent Floor in Vatika India Next,Sector 82,Not approved by RERA,3,Floor
Ready to move,4968,13486,4 BHK Apartment in M3M Polo Suites,Sector 65,Not approved by RERA,4,Apartment
Under Construction,1700,11176,3 BHK Independent Floor in Trehan Luxury Floors 71,Sector 71,Approved by RERA,3,Floor
Under Construction,3487,5965,4 BHK Apartment in Saan Verdante,Sector 95,Approved by RERA,4,Apartment
Under Construction,2100,16666,3 BHK Independent Floor in Adani Samsara Avasa,Sector 63,Approved by RERA,3,Floor
Under Construction,512,4000,2 BHK Apartment in Agrante Kavyam Homes,Sector 108,Approved by RERA,2,Apartment
Ready to move,6351,15000,5 BHK Apartment in M3M St Andrews Golf Residences,Sector 65,Not approved by RERA,5,Apartment
Ready to move,3800,5131,3 BHK Apartment in Central Park Flower Valley,Sector 33 Sohna,Not approved by RERA,3,Apartment
Ready to move,4718,10067,5 BHK Apartment in ATS Triumph,Sector 104,Not approved by RERA,5,Apartment
Ready to move,2275,9494,2 BHK Apartment in Experion Windchants Villa,Sector 112,Not approved by RERA,2,Apartment
Ready to move,3363,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
Under Construction,850,6470,2 BHK Independent Floor in SSG Yash Vatika 3,Sector 4,Approved by RERA,2,Floor
Under Construction,1336,20381,3 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,3,Apartment
Ready to move,3100,5806,4 BHK Independent Floor,Sector 9,Not approved by RERA,4,Plot
Under Construction,581,4089,2 BHK Apartment in Pyramid Heights,Sector 85,Approved by RERA,2,Apartment
Under Construction,1415,7400,2 BHK Apartment in M3M Skywalk,Sector 74,Approved by RERA,2,Apartment
Under Construction,1726,30144,4 BHK Apartment in Godrej Zenith,Sector 89,Approved by RERA,4,Apartment
Ready to move,7000,11428,4 BHK Apartment in DLF Camellias,Sector 42,Not approved by RERA,4,Apartment
Under Construction,1702,16500,4 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,4,Apartment
Ready to move,4518,11841,4 BHK Independent Floor in Dlf floorsss,DLF Phase 2,Not approved by RERA,4,Floor
Under Construction,4038,16500,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment
Ready to move,1103,27854,2 BHK Apartment in Sobha City Vista Residences,Sector 108,Not approved by RERA,2,Apartment
Ready to move,5800,27586,4 BHK Apartment in  The Magnolias,Sector 42,Not approved by RERA,4,Apartment
Under Construction,1614,8674,3 BHK Apartment in DLF Garden city Independent Floor,Sector 93,Approved by RERA,3,Apartment
Ready to move,5480,11000,5 BHK Villa in Bestech Park View Ananda Villas,Sector 81,Not approved by RERA,5,Villa
Under Construction,2250,20000,3 BHK Apartment in Krisumi Waterside Residence,Sector 36A,Approved by RERA,3,Apartment
Under Construction,1751,5440,3 BHK Apartment in Eldeco Acclaim,Sector 2 Sohna,Approved by RERA,3,Apartment
Under Construction,1795,21000,3 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,3,Apartment
Ready to move,990,12222,2 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,2,Apartment
Under Construction,4128,18559,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment
Under Construction,2015,20266,3 BHK Apartment in Smart Smartworld One DXP,Sector 113,Approved by RERA,3,Apartment
Under Construction,1469,37465,4 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,4,Apartment
Ready to move,4500,7222,4 BHK Apartment in Vipul Floors,Sector 48,Not approved by RERA,4,Apartment
Under Construction,2107,16500,3 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,3,Apartment
Ready to move,2781,18500,3 BHK Apartment in Ambience Creacions,Sector 22 Gurgaon,Not approved by RERA,3,Apartment
Ready to move,750,6400,2 BHK Apartment in Signature Global Solera 2,Sector 107,Not approved by RERA,2,Apartment
Ready to move,2500,11000,4 BHK Independent Floor in Eros Wembley Estate,South City II,Not approved by RERA,4,Floor
Under Construction,645,3999,3 BHK Apartment in Mahira Homes,Sector 68,Approved by RERA,3,Apartment
Ready to move,1685,9614,3 BHK Apartment in Assotech Blith,Sector 99,Not approved by RERA,3,Apartment
Ready to move,1381,19913,2 BHK Apartment in Sobha City,Sector 108,Not approved by RERA,2,Apartment
Ready to move,2567,17530,3 BHK Apartment in Emaar Digi Homes,Sector 62,Not approved by RERA,3,Apartment
Ready to move,2650,9245,3 BHK Apartment in ATS Marigold,Sector 89A,Not approved by RERA,3,Apartment
Ready to move,1200,5000,3 BHK Independent Floor,Sector 9,Not approved by RERA,3,Plot
Ready to move,900,4333,2 BHK Apartment in Signature Global Andour Heights,Sector 71,Not approved by RERA,2,Apartment
Under Construction,1300,20000,2 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,2,Apartment
Ready to move,1799,12506,3 BHK Apartment in DLF The Primus,Sector 82A,Not approved by RERA,3,Apartment
Under Construction,1448,7044,2 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,2,Apartment
Ready to move,4022,37978,4 BHK Apartment in DLF The Crest,Sector 54,Not approved by RERA,4,Apartment
Ready to move,2779,6327,4 BHK Apartment in Experion The Heartsong,Sector 108,Not approved by RERA,4,Apartment
Under Construction,1615,20000,2 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,2,Apartment
Under Construction,2500,23000,3 BHK Apartment in Silverglades Hightown Residences,Sector 28,Approved by RERA,3,Apartment
Ready to move,3500,34285,5 BHK Villa in Vatika Signature Villas,Sector 82,Not approved by RERA,5,Villa
Ready to move,3732,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
Ready to move,3800,5131,3 BHK Apartment in Central Park Flower Valley,Sector 33 Sohna,Not approved by RERA,3,Apartment
Ready to move,3805,18913,5 BHK Apartment in Parsvnath Exotica,Sector 53,Not approved by RERA,5,Apartment
Ready to move,2500,7400,3 BHK Independent Floor in Reputed Builder Sushant Lok 3,Sector 57,Not approved by RERA,3,Floor
Under Construction,2000,15000,3 BHK Apartment in Godrej Zenith,Sector 89,Approved by RERA,3,Apartment
Ready to move,1481,28000,4 BHK Apartment in M3M Latitude,Sector 65,Not approved by RERA,4,Apartment
Ready to move,2535,8614,3 BHK Apartment in Tata Gurgaon Gateway,Sector 112,Not approved by RERA,3,Apartment
Ready to move,1836,10620,3 BHK Independent Floor in Reputed Builder Sushant Lok 3,Sector 57,Not approved by RERA,3,Floor
Ready to move,4690,26652,4 BHK Apartment in Pioneer Araya,Sector 62,Not approved by RERA,4,Apartment
Ready to move,2700,8333,4 BHK Independent Floor,Sushant Lok Phase 3,Not approved by RERA,4,Plot
Ready to move,2400,8750,3 BHK Independent Floor in Unitech South City II,Sector 49,Not approved by RERA,3,Floor
Ready to move,2475,5350,4 BHK Apartment in Conscient Heritage Max,Sector 102,Not approved by RERA,4,Apartment
Under Construction,1689,6453,3 BHK Apartment in Adani M2K Oyster Grande,Sector 102,Approved by RERA,3,Apartment
Under Construction,1331,21316,3 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,3,Apartment
Ready to move,930,9139,2 BHK Independent Floor,Sector 83,Not approved by RERA,2,Plot
Under Construction,2733,10976,3 BHK Apartment in Orchid Ivy,Sector 51,Approved by RERA,3,Apartment
Ready to move,2847,17000,4 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,4,Apartment
Ready to move,2073,27855,3 BHK Apartment in Sobha City Vista Residences,Sector 108,Not approved by RERA,3,Apartment
Ready to move,1997,8371,3 BHK Apartment in Pareena Coban Residences,Sector 99A,Not approved by RERA,3,Apartment
Under Construction,1556,7372,3 BHK Apartment in Signature Global City 79 B,Sector 79,Approved by RERA,3,Apartment
Ready to move,4500,12222,4 BHK Independent Floor,Sector 54,Not approved by RERA,4,Plot
Ready to move,4950,10900,5 BHK Apartment in SS The Leaf,Sector 85,Not approved by RERA,5,Apartment
Under Construction,3416,19320,4 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,4,Apartment
Ready to move,1745,27855,3 BHK Apartment in Sobha City Vista Residences,Sector 108,Not approved by RERA,3,Apartment
Ready to move,2867,26949,4 BHK Apartment in DLF The Belaire,Sector 54,Not approved by RERA,4,Apartment
Ready to move,2438,21500,3 BHK Apartment in Ireo The Grand Arch,Sector 58,Not approved by RERA,3,Apartment
Under Construction,1388,26582,3 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,3,Apartment
Ready to move,2000,7000,3 BHK Independent Floor in Uppal Southend,Sector 49,Not approved by RERA,3,Floor
Ready to move,2200,11136,4 BHK Apartment in 4S 4S Aradhya Homes,Sector 67,Not approved by RERA,4,Apartment
Ready to move,4058,16881,5 BHK Villa in Experion The Westerlies,Sector 108,Not approved by RERA,5,Villa
Ready to move,2095,15513,4 BHK Independent Floor,Sector 57,Not approved by RERA,4,Plot
Ready to move,1200,5000,3 BHK Independent Floor,Sector 15,Not approved by RERA,3,Plot
Under Construction,3950,20253,4 BHK Apartment in DLF The Arbour,Sector 63,Approved by RERA,4,Apartment
Resale,4500,10000,Residential Plot in south city 1 K Block,South City I,Not approved by RERA,1,Plot
Under Construction,1967,20000,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment
Ready to move,1044,20200,2 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,2,Apartment
Ready to move,5219,22000,4 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,4,Apartment
Under Construction,1210,5913,3 BHK Apartment in Central Park Cerise Floors,Sector 33 Sohna,Approved by RERA,3,Apartment
Ready to move,2164,21500,3 BHK Apartment in Ireo The Grand Arch,Sector 58,Not approved by RERA,3,Apartment
Under Construction,2500,15860,3 BHK Apartment in Silverglades Hightown Residences,Sector 28,Approved by RERA,3,Apartment
Under Construction,2070,10869,3 BHK Independent Floor in SS Mayfield Garden,Sector 51,Approved by RERA,3,Floor
Ready to move,1575,10322,3 BHK Apartment in Emaar Palm Hills,Sector 77,Not approved by RERA,3,Apartment
Under Construction,1988,41274,4 BHK Apartment in DLF The Grove,Sector 54,Approved by RERA,4,Apartment
Under Construction,2249,220000,4 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,4,Apartment
Ready to move,450,6666,1 BHK Apartment in GLS Avenue 51,Sector 92,Not approved by RERA,1,Apartment
Under Construction,2100,220000,4 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,4,Apartment
Under Construction,2090,14000,3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Approved by RERA,3,Apartment
Under Construction,1020,10000,2 BHK Apartment in Signature Global Park 1,Sector 36 Sohna,Approved by RERA,2,Apartment
Ready to move,2475,5300,4 BHK Apartment in Shree Vardhman Flora,Sector 90,Not approved by RERA,4,Apartment
Ready to move,3070,8306,4 BHK Apartment in Ireo Uptown,Sector 66,Not approved by RERA,4,Apartment
Ready to move,500,6000,2 BHK Apartment in Conscient Habitat,Sector 99A,Not approved by RERA,2,Apartment
Ready to move,2700,15740,4 BHK Apartment in Ashley Estate Floors 9,DLF Phase 2,Not approved by RERA,4,Apartment
Ready to move,3100,17500,4 BHK Apartment in M3M Merlin,Sector 67,Not approved by RERA,4,Apartment
Under Construction,2150,23000,3 BHK Apartment in Silverglades Hightown Residences,Sector 28,Approved by RERA,3,Apartment
Ready to move,4000,15500,4 BHK Apartment in Palm springsss,Golf Course Road,Not approved by RERA,4,Apartment
Under Construction,2355,13982,3 BHK Apartment in Aviana Chintamani,Sector 103,Approved by RERA,3,Apartment
Ready to move,1657,20800,4 BHK Apartment in Godrej Meridien,Sector 106,Not approved by RERA,4,Apartment
Under Construction,1642,12000,3 BHK Apartment in M3M Antalya Hills,Sector 79,Approved by RERA,3,Apartment
Ready to move,7851,10900,5 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,5,Apartment
Under Construction,2000,13400,3 BHK Apartment in Trehan Luxury Floors 71,Sector 71,Approved by RERA,3,Apartment
Ready to move,1346,19308,2 BHK Apartment in M3M Skywalk,Sector 74,Not approved by RERA,2,Apartment
Ready to move,7196,74324,4 BHK Apartment in DLF Camellias,Sector 42,Not approved by RERA,4,Apartment
Under Construction,2750,17500,4 BHK Apartment in Puri The Aravallis,Sector 61,Approved by RERA,4,Apartment
Under Construction,1469,37465,4 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,4,Apartment
Under Construction,3950,17722,4 BHK Apartment in DLF The Arbour,Sector 63,Approved by RERA,4,Apartment
Under Construction,1600,8015,3 BHK Apartment in Godrej Nature Plus,Sector 33 Sohna,Approved by RERA,3,Apartment
Under Construction,1469,37465,4 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,4,Apartment
Under Construction,1634,8690,3 BHK Independent Floor in M3M Antalya Hills Phase II,Sector 79,Approved by RERA,3,Floor
Ready to move,1900,20801,3 BHK Apartment in Godrej Meridien,Sector 106,Not approved by RERA,3,Apartment
Ready to move,1400,20801,2 BHK Apartment in Godrej Meridien,Sector 106,Not approved by RERA,2,Apartment
Ready to move,1860,16505,3 BHK Apartment in Conscient Heritage One,Sector 62,Not approved by RERA,3,Apartment
Under Construction,2403,14981,3 BHK Independent Floor in Emaar Marbella,Sector 66,Approved by RERA,3,Floor
Under Construction,1105,8010,2 BHK Apartment in M3M Soulitude,Sector 89,Approved by RERA,2,Apartment
Ready to move,1465,8621,2 BHK Apartment in Ashiana Mulberry,Sector 2 Sohna,Not approved by RERA,2,Apartment
Ready to move,2297,16325,4 BHK Apartment in Dhoot Time Residency,Sector 63,Not approved by RERA,4,Apartment
Ready to move,2446,27854,4 BHK Apartment in Sobha City Vista Residences,Sector 108,Not approved by RERA,4,Apartment
Ready to move,1770,8192,3 BHK Apartment in Pareena Express Heights,Sector 99A,Not approved by RERA,3,Apartment
Ready to move,2441,10241,2 BHK Apartment in Experion Windchants,Sector 112,Not approved by RERA,2,Apartment
Under Construction,1751,5596,3 BHK Apartment in Eldeco Accolade,Sector 2 Sohna,Approved by RERA,3,Apartment
Ready to move,1710,11403,3 BHK Independent Floor,Sector 57,Not approved by RERA,3,Plot
Ready to move,2565,20000,3 BHK Apartment in Emaar Digi Homes,Sector 62,Not approved by RERA,3,Apartment
Under Construction,1145,14000,2 BHK Apartment in Signature Global City 92 Phase 2,Sector 92,Approved by RERA,2,Apartment
Under Construction,2700,20000,4 BHK Apartment,Sector 113,Not approved by RERA,4,Plot
Under Construction,1946,17300,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment
Ready to move,2900,18933,4 BHK Apartment in Tata Primanti,Sector 72,Not approved by RERA,4,Apartment
Under Construction,1665,13093,3 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,3,Apartment
